Equipment,Port,Command,Response,Validation,,,,
Keysight PNA-X N5222B,5560,*IDN?,Keysight Technologies,N5222B,US12345678,A.10.00.00,,
,,*OPC?,1,,,,,
,,*RST,OK,,,,,
,,*CLS,OK,,,,,
,,*ESE (.+),OK,"range:0,255",,,,
,,*ESE?,0,,,,,
,,*ESR?,0,,,,,
,,*SRE (.+),OK,"range:0,255",,,,
,,*SRE?,0,,,,,
,,*STB?,0,,,,,
,,*TST?,0,,,,,
,,*WAI,OK,,,,,
,,SYST:ERR?,0,No error,,,,
,,SYST:VERS?,1999,,,,,
,,SENS1:FREQ:START (.+),OK,"range:10e3,50e9",,,,
,,SENS1:FREQ:START?,1000000000,,,,,
,,SENS1:FREQ:STOP (.+),OK,"range:10e3,50e9",,,,
,,SENS1:FREQ:STOP?,50000000000,,,,,
,,SENS1:FREQ:CENT (.+),OK,"range:10e3,50e9",,,,
,,SENS1:FREQ:CENT?,25000000000,,,,,
,,SENS1:FREQ:SPAN (.+),OK,"range:1,50e9",,,,
,,SENS1:FREQ:SPAN?,49000000000,,,,,
,,SENS1:SWE:POIN (.+),OK,"range:2,100001",,,,
,,SENS1:SWE:POIN?,201,,,,,
,,SENS1:SWE:TYPE (.+),OK,"enum:LIN,LOG,POW,SEG",,,,
,,SENS1:SWE:TYPE?,LIN,,,,,
,,SENS1:SWE:TIME (.+),OK,"range:0,1e6",,,,
,,SENS1:SWE:TIME?,0.1,,,,,
,,SENS1:BAND (.+),OK,"range:1,1.5e6",,,,
,,SENS1:BAND?,1000,,,,,
,,SENS1:AVER:COUN (.+),OK,"range:1,65536",,,,
,,SENS1:AVER:COUN?,1,,,,,
,,SENS1:AVER:MODE (.+),OK,"enum:POIN,SWEEP",,,,
,,SENS1:AVER:MODE?,SWEEP,,,,,
,,SENS1:AVER (.+),OK,bool,,,,
,,SENS1:AVER?,OFF,,,,,
,,SOUR1:POW:PORT1 (.+),OK,"range:-85,10",,,,
,,SOUR1:POW:PORT1?,0,,,,,
,,SOUR1:POW:PORT2 (.+),OK,"range:-85,10",,,,
,,SOUR1:POW:PORT2?,0,,,,,
,,SOUR1:POW:PORT3 (.+),OK,"range:-85,10",,,,
,,SOUR1:POW:PORT3?,0,,,,,
,,SOUR1:POW:PORT4 (.+),OK,"range:-85,10",,,,
,,SOUR1:POW:PORT4?,0,,,,,
,,SOUR1:POW:ALC:MODE (.+),OK,"enum:AUTO,MAN",,,,
,,SOUR1:POW:ALC:MODE?,AUTO,,,,,
,,SOUR1:POW:ATT (.+),OK,"range:0,60",,,,
,,SOUR1:POW:ATT?,0,,,,,
,,SOUR1:POW:ATT:AUTO (.+),OK,bool,,,,
,,SOUR1:POW:ATT:AUTO?,ON,,,,,
,,CALC1:PAR:DEF (.+),OK,"enum:S11,S12,S13,S14,S21,S22,S23,S24,S31,S32,S33,S34,S41,S42,S43,S44",,,,
,,CALC1:PAR:DEF?,S11,,,,,
,,CALC1:PAR:SEL,OK,,,,,
,,CALC1:DATA? FDAT,1,-45,0.8,-90,0.6,-135
,,CALC1:DATA? SDAT,1,0,0.8,-0.2,0.6,-0.4
,,CALC1:FORM (.+),OK,"enum:MLOG,PHAS,GDEL,SLIN,SLOG,SCOM,SMIT,SADM,POLAR,MLIN,SWR,REAL,IMAG",,,,
,,CALC1:FORM?,MLOG,,,,,
,,CALC1:MARK1 (.+),OK,bool,,,,
,,CALC1:MARK1?,OFF,,,,,
,,CALC1:MARK2 (.+),OK,bool,,,,
,,CALC1:MARK2?,OFF,,,,,
,,CALC1:MARK3 (.+),OK,bool,,,,
,,CALC1:MARK3?,OFF,,,,,
,,CALC1:MARK4 (.+),OK,bool,,,,
,,CALC1:MARK4?,OFF,,,,,
,,CALC1:MARK5 (.+),OK,bool,,,,
,,CALC1:MARK5?,OFF,,,,,
,,CALC1:MARK6 (.+),OK,bool,,,,
,,CALC1:MARK6?,OFF,,,,,
,,CALC1:MARK7 (.+),OK,bool,,,,
,,CALC1:MARK7?,OFF,,,,,
,,CALC1:MARK8 (.+),OK,bool,,,,
,,CALC1:MARK8?,OFF,,,,,
,,CALC1:MARK9 (.+),OK,bool,,,,
,,CALC1:MARK9?,OFF,,,,,
,,CALC1:MARK10 (.+),OK,bool,,,,
,,CALC1:MARK10?,OFF,,,,,
,,CALC1:MARK1:X (.+),OK,"range:10e3,50e9",,,,
,,CALC1:MARK1:X?,1000000000,,,,,
,,CALC1:MARK1:Y?,0.5,-30,,,,
,,CALC1:MARK2:X (.+),OK,"range:10e3,50e9",,,,
,,CALC1:MARK2:X?,1000000000,,,,,
,,CALC1:MARK2:Y?,0.5,-30,,,,
,,CALC1:MARK3:X (.+),OK,"range:10e3,50e9",,,,
,,CALC1:MARK3:X?,1000000000,,,,,
,,CALC1:MARK3:Y?,0.5,-30,,,,
,,CALC1:MARK4:X (.+),OK,"range:10e3,50e9",,,,
,,CALC1:MARK4:X?,1000000000,,,,,
,,CALC1:MARK4:Y?,0.5,-30,,,,
